lap_id,driver,air_temp,track_temp,track_usage,humidity,wind_vel,wind_dir,precipitation,cloud_cover,fog_level,fuel_level,fuel_used,tire_compound
01KD42DTCD33ZPC34YZV4S4R2A,Alin Florica,19.791878,20.0,15.0,0.30169153,0.5968043,2.7975154,0,3,0,36.93898,3.034139,1.0
01KD8484105ABZYCWH0YBB4YAY,Alvaro Ferreiro Rodigues,18.99566,24.4444580078125,84.0,0.61349285,2.4713476,1.7344805,0,2,0,4.215607,3.002224,1.0
01KFRNH70F9S262Z8C0FAAGJCH,Am Shane Wells,20.0,21.666656494140625,71.0,0.45,0.89408004,0.0,0,2,0,16.386211,2.9519935,1.0
01KE0M5XF9W18E3D1KDCZW54DM,Andrea Durante2,19.435184,20.0,28.0,0.62735623,3.3047495,5.5301886,0,2,0,20.966541,3.1107645,1.0
01KNAECWBSVM1E9CV5Z9TKJ8GW,Andrea Forte,19.654453,22.22222900390625,57.0,0.9446786,4.493986,1.4229709,0,3,0,31.553411,3.2262843,1.0
01K7CJ62HZXQR1SVAQ0HE0CS5W,Andrea Miatto2,19.127275,20.0,57.0,0.95,0.672647,3.5915205,0,1,0,19.745224,2.9251337,1.0
01KDG4WV0BE531CT05G5M71E05,Andrea Poletto,18.870344,23.333343505859375,71.0,0.62965256,5.6165166,1.7680594,0,2,0,30.294813,3.067694,1.0
01K563PFGCTGR97GXQYDDTHV17,Andrei Petrachenka,19.945705,31.666656494140625,42.0,0.8450659,3.7422888,1.9258087,0,3,0,33.68099,3.0382438,1.0
01KD6FPEXKK3874TE1T73GNGV5,Andres Malovos,18.72562,24.4444580078125,,0.73697454,5.241376,6.1917577,0,2,0,39.929874,3.0254223,1.0
01K784JNNF9NP3S1QP0HTB2EWM,Andres Martinez2,20.746885,23.888885498046875,,0.7519638,3.5481043,1.4443132,0,3,0,5.530511,3.108419,1.0
01KKRH8NGZV957QRAJSBM6R0Z0,Andrew AM Martin,19.038916,21.666656494140625,,0.3955958,1.8982024,6.122836,0,4,0,17.318996,3.0834858,1.0
01K7FHXW1CXA6YG3FEQ6QCVVXS,Andrew Barber7,19.209393,21.666656494140625,,0.9298747,4.108111,5.191458,0,3,0,25.965502,3.0580852,1.0
01K7DHDZCZAZWJZ4H26MP2QX6N,Andrew Frank,20.8559,23.333343505859375,,0.63708425,1.48799,2.5615683,0,2,0,22.106478,3.000948,
01K79E1ZJ3Y87DS9R0GRRHQXAR,Andrew R Taylor,19.578178,22.22222900390625,15.0,0.95,2.8969295,5.130314,0,2,0,10.658718,3.068547,
01KKVW307SET270QX33SJ9VK6K,Andrey Kobyzev,19.583477,23.333343505859375,15.0,0.78078306,3.8068142,5.4880743,0,4,0,45.189144,3.0409229,1.0
