driver,lap_time_s,lap_time_str,lap_id,n_samples,filename
Cory Otsuji,129.641,02:09.641,01KFNW1VVV9KNF6GR966QC3MV8,7779,Garage 61 - Cory Otsuji - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.641 - 01KFNW1VVV9KNF6GR966QC3MV8.csv
Sebastian Trujillo,129.671,02:09.671,01KD74QD1Q2P3AYZQN3N2NFWN5,7780,Garage 61 - Sebastian Trujillo - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.671 - 01KD74QD1Q2P3AYZQN3N2NFWN5.csv
Nicholas Veen,129.686,02:09.686,01KFM53SSXWCRRWX3CWWCGTDRH,7781,Garage 61 - Nicholas Veen - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.686 - 01KFM53SSXWCRRWX3CWWCGTDRH.csv
Jae Whan Keum,129.794,02:09.794,01KFJ7AWDV2YEF583H1Z9V93Y4,7788,Garage 61 - Jae Whan Keum - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.794 - 01KFJ7AWDV2YEF583H1Z9V93Y4.csv
Jaka Bezjak,129.8,02:09.800,01KDDW7FM6WZ9SDJK0VP2DDRH3,7788,Garage 61 - Jaka Bezjak - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.800 - 01KDDW7FM6WZ9SDJK0VP2DDRH3.csv
Andy Hill,130.227,02:10.227,01KFME0HNKPEW9KDBRJJGF84A8,7814,Garage 61 - Andy Hill - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.10.227 - 01KFME0HNKPEW9KDBRJJGF84A8.csv
Tito Oliveira Sobral,130.38,02:10.380,01KFCZ2XXR3PNQ5ARV693TRR7W,7823,Garage 61 - Tito Oliveira Sobral - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.10.380 - 01KFCZ2XXR3PNQ5ARV693TRR7W.csv
Test Opfer,130.454,02:10.454,01KFWP0A3640W26268KC9JCTFG,7828,Garage 61 - Test Opfer - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.10.454 - 01KFWP0A3640W26268KC9JCTFG.csv
Dominik Gárel,130.678,02:10.678,01KDXFXGN6CE3JVBWHVBFF7TEW,7841,Garage 61 - Dominik Gárel - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.10.678 - 01KDXFXGN6CE3JVBWHVBFF7TEW.csv
Jacob Rodolico,130.679,02:10.679,01KFBZQN8BKYZYJZHKXJSBABZB,7842,Garage 61 - Jacob Rodolico - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.10.679 - 01KFBZQN8BKYZYJZHKXJSBABZB.csv
Alessio Franchi,130.694,02:10.694,01KDFT3TH8M5BRP38E7BP6G6PN,7841,Garage 61 - Alessio Franchi - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.10.694 - 01KDFT3TH8M5BRP38E7BP6G6PN.csv
Yifei Wang,130.735,02:10.735,01KDDW17MA0CXWDTQD4ARY9GHF,7844,Garage 61 - Yifei Wang - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.10.735 - 01KDDW17MA0CXWDTQD4ARY9GHF.csv
Jacob Rodolico,131.085,02:11.085,01KFFHJCQ0ED7GRXG7Z3NM1GM4,7865,Garage 61 - Jacob Rodolico - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.11.085 - 01KFFHJCQ0ED7GRXG7Z3NM1GM4.csv
Noah Rattenhuber,131.263,02:11.263,01KJ3CJXD6W4K4X959AWDD37GY,7876,Garage 61 - Noah Rattenhuber - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.11.263 - 01KJ3CJXD6W4K4X959AWDD37GY.csv
Jacob Rodolico,131.408,02:11.408,01KFC33C961D4YZQXPJ222THY4,7885,Garage 61 - Jacob Rodolico - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.11.408 - 01KFC33C961D4YZQXPJ222THY4.csv
Robert Samczyk,131.422,02:11.422,01KDKD2FEECH501TGPM9DKQNK8,7885,Garage 61 - Robert Samczyk - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.11.422 - 01KDKD2FEECH501TGPM9DKQNK8.csv
Jacob Rodolico,131.603,02:11.603,01KFC5HP52NH5AEBCCH8552R8G,7896,Garage 61 - Jacob Rodolico - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.11.603 - 01KFC5HP52NH5AEBCCH8552R8G.csv
Tom Christian,131.653,02:11.653,01KFEHJYSCHR3AHZY20RCY7YP1,7899,Garage 61 - Tom Christian - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.11.653 - 01KFEHJYSCHR3AHZY20RCY7YP1.csv
Jacopo Marzellan,131.654,02:11.654,01KGT01Q0GNATFY0CA1MQTF00Q,7900,Garage 61 - Jacopo Marzellan - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.11.654 - 01KGT01Q0GNATFY0CA1MQTF00Q.csv
Eugeniy Korolev,131.996,02:11.996,01KEW8XQH1D4GTGNNH86HF822K,7921,Garage 61 - Eugeniy Korolev - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.11.996 - 01KEW8XQH1D4GTGNNH86HF822K.csv
Aymeric Leloup,132.125,02:12.125,01KCS4V3SWFKE5EVFJR773MB51,7927,Garage 61 - Aymeric Leloup - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.12.125 - 01KCS4V3SWFKE5EVFJR773MB51.csv
Nathan Vu,132.165,02:12.165,01KDFHGKF5SJQS9KMCTG90E6FE,7930,Garage 61 - Nathan Vu - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.12.165 - 01KDFHGKF5SJQS9KMCTG90E6FE.csv
Jacob Rodolico,132.26,02:12.260,01KFFHJCQ0ED7GRXG7ZCYDXWZS,7936,Garage 61 - Jacob Rodolico - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.12.260 - 01KFFHJCQ0ED7GRXG7ZCYDXWZS.csv
Jacopo Marzellan,132.566,02:12.566,01KGSZZ2CH1XA6H1YWF7FT7ZH1,7572,Garage 61 - Jacopo Marzellan - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.12.566 - 01KGSZZ2CH1XA6H1YWF7FT7ZH1.csv
Shiyu Fan,132.658,02:12.658,01KDJKR6QN84ZGTE5DSBNAS4JC,7959,Garage 61 - Shiyu Fan - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.12.658 - 01KDJKR6QN84ZGTE5DSBNAS4JC.csv
